v8-version,8,6,395,17,-node.25,0
code-creation,Builtin,3,16359,0x100a69be0,1628,RecordWrite
code-creation,Builtin,3,16467,0x100a6a240,424,EphemeronKeyBarrier
code-creation,Builtin,3,16482,0x100a6a400,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,16501,0x100a6a440,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,16514,0x100a6a580,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,16529,0x100a6a660,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,16543,0x100a6a780,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,16556,0x100a6a8c0,127,CallBoundFunction
code-creation,Builtin,3,16568,0x100a6a940,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,16582,0x100a6a9c0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,16596,0x100a6aa40,109,Call_ReceiverIsAny
code-creation,Builtin,3,16607,0x100a6aac0,488,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,16622,0x100a6acc0,488,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,3,16636,0x100a6aec0,488,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,3,16650,0x100a6b0c0,858,CallProxy
code-creation,Builtin,3,16662,0x100a6b420,75,CallVarargs
code-creation,Builtin,3,16672,0x100a6b480,1064,CallWithSpread
code-creation,Builtin,3,16684,0x100a6b8c0,1600,CallWithSpread_WithFeedback
code-creation,Builtin,3,16697,0x100a6bf20,962,CallWithArrayLike
code-creation,Builtin,3,16709,0x100a6c300,1470,CallWithArrayLike_WithFeedback
code-creation,Builtin,3,16723,0x100a6c8c0,100,CallForwardVarargs
code-creation,Builtin,3,16734,0x100a6c940,100,CallFunctionForwardVarargs
code-creation,Builtin,3,16748,0x100a6c9c0,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,16762,0x100a6ca60,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,16777,0x100a6cb60,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,16793,0x100a6ccc0,26,ConstructFunction
code-creation,Builtin,3,16804,0x100a6cce0,127,ConstructBoundFunction
code-creation,Builtin,3,16816,0x100a6cd60,28,ConstructedNonConstructable
code-creation,Builtin,3,16829,0x100a6cd80,90,Construct
code-creation,Builtin,3,16840,0x100a6cde0,75,ConstructVarargs
code-creation,Builtin,3,16852,0x100a6ce40,1084,ConstructWithSpread
code-creation,Builtin,3,16864,0x100a6d280,1918,ConstructWithSpread_WithFeedback
code-creation,Builtin,3,16877,0x100a6da00,1044,ConstructWithArrayLike
code-creation,Builtin,3,16890,0x100a6de20,1882,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,3,16904,0x100a6e580,139,ConstructForwardVarargs
code-creation,Builtin,3,16917,0x100a6e620,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,16930,0x100a6e6c0,885,Construct_WithFeedback
code-creation,Builtin,3,16942,0x100a6ea40,328,JSConstructStubGeneric
code-creation,Builtin,3,16954,0x100a6eba0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,16974,0x100a6eca0,735,FastNewObject
code-creation,Builtin,3,16985,0x100a6ef80,321,FastNewClosure
code-creation,Builtin,3,16997,0x100a6f0e0,842,ConstructProxy
code-creation,Builtin,3,17008,0x100a6f440,188,JSEntry
code-creation,Builtin,3,17018,0x100a6f500,188,JSConstructEntry
code-creation,Builtin,3,17030,0x100a6f5c0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,17042,0x100a6f680,95,JSEntryTrampoline
code-creation,Builtin,3,17054,0x100a6f6e0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,17067,0x100a6f740,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,17079,0x100a6f880,1112,StringCodePointAt
code-creation,Builtin,3,17091,0x100a6fce0,1611,StringFromCodePointAt
code-creation,Builtin,3,17102,0x100a70340,552,StringEqual
code-creation,Builtin,3,17113,0x100a70580,284,StringGreaterThan
code-creation,Builtin,3,17125,0x100a706a0,284,StringGreaterThanOrEqual
code-creation,Builtin,3,17137,0x100a707c0,1069,StringIndexOf
code-creation,Builtin,3,17148,0x100a70c00,284,StringLessThan
code-creation,Builtin,3,17159,0x100a70d20,284,StringLessThanOrEqual
code-creation,Builtin,3,17171,0x100a70e40,2647,StringSubstring
code-creation,Builtin,3,17182,0x100a718a0,92,OrderedHashTableHealIndex
code-creation,Builtin,3,17203,0x100a71900,920,InterpreterEntryTrampoline
code-creation,Builtin,3,17215,0x100a71ca0,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,17228,0x100a71d00,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,17240,0x100a71d60,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,17253,0x100a71dc0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,17265,0x100a71e20,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,17278,0x100a71e80,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,17291,0x100a71ee0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,17302,0x100a71fc0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,17314,0x100a72020,51,InterpreterOnStackReplacement
code-creation,Builtin,3,17325,0x100a72060,1057,CompileLazy
code-creation,Builtin,3,17335,0x100a724a0,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,17346,0x100a72500,245,InstantiateAsmJs
code-creation,Builtin,3,17357,0x100a72600,32,NotifyDeoptimized
code-creation,Builtin,3,17369,0x100a72640,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,17380,0x100a72680,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,17392,0x100a726c0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,17403,0x100a72700,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,17415,0x100a72760,287,CallApiCallback
code-creation,Builtin,3,17425,0x100a72880,269,CallApiGetter
code-creation,Builtin,3,17435,0x100a729a0,12,HandleApiCall
code-creation,Builtin,3,17450,0x100a729c0,12,HandleApiCallAsFunction
code-creation,Builtin,3,17461,0x100a729e0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,17473,0x100a72a00,72,AllocateInYoungGeneration
